,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
0,audifonos deportivos samsung inalambricos itfit a80c - negro,SAMSUNG,Headphones,bluetooth,No-gamer,0.0,4.5,95900,Korea,Mobil accessories
1,airpods serie 3 y pro bluetooth compatibles iphone y android,APPLE,in-ear,bluetooth,No-gamer,0.0,4.5,119000,USA,Mobil accessories
2,audifonos in-ear xiaomi mi headphones basic negro,XIAOMI,in-ear,wire,No-gamer,390.0,4.5,27821,China,Mobil accessories
3,audifonos in-ear inalambricos xiaomi redmi airdots 3 blanco,XIAOMI,in-ear,bluetooth,No-gamer,286.0,4.5,137999,China,Mobil accessories
5,audifonos in-ear gamer inalambricos xiaomi redmi airdots 2 negro,XIAOMI,in-ear,bluetooth,gamer,111.0,4.5,49000,China,Mobil accessories
6,audifonos maxell studio st-200 negro,MAXELL,Headphones,wire,No-gamer,108.0,4.5,46800,Japan,Mobil accessories
7,audifonos in-ear inalambricos lenovo livepods lp40 pro,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,100000,China,Mobil accessories
9,audifonos in-ear inalambricos jbl endurance race negro,JBL,in-ear,bluetooth,No-gamer,22.0,4.5,429900,USA,high-end
11,audifonos in-ear inalambricos jbl wave 300tws blanco,JBL,in-ear,bluetooth,No-gamer,95.0,4.5,319000,USA,high-end
12,apple earpods con conector lightning - blanco,APPLE,Headphones,wire,No-gamer,152.0,4.5,70900,USA,Mobil accessories
13,audifonos in-ear gamer inalambricos lenovo xg01 rosa con luz led,LENOVO,in-ear,bluetooth,gamer,42.0,4.5,158900,China,Mobil accessories
14,audifonos in-ear inalambricos sony wi-c310 black,SONY,in-ear,bluetooth,No-gamer,274.0,4.5,139900,Japan,high-end
16,audifonos gamer inalambricos lenovo lp7 blanco,LENOVO,Headphones,bluetooth,gamer,184.0,4.5,106134,China,Mobil accessories
17,audifonos diadema maxell hs-hmic microfono conex usb con control de volumen y mute,MAXELL,Headphones,wire,No-gamer,20.0,4.5,79900,Japan,Mobil accessories
19,audifonos inalambricos sony wh-ch710n negro,SONY,Headphones,bluetooth,No-gamer,83.0,4.5,849900,Japan,high-end
20,audifonos in-ear gamer inalambricos xiaomi redmi airdots 3 pro gris glaciar,XIAOMI,in-ear,bluetooth,gamer,167.0,4.5,299980,China,Mobil accessories
21,audifonos in-ear inalambricos sony wf-c500 blanco,SONY,in-ear,bluetooth,No-gamer,246.0,4.5,549899,Japan,high-end
23,audifonos inalambricos jbl tune 510bt azul,JBL,Headphones,bluetooth,No-gamer,533.0,4.5,194900,USA,high-end
24,audifonos in-ear inalambricos lenovo livepods lp1 negro,LENOVO,in-ear,bluetooth,No-gamer,177.0,4.5,79900,China,Mobil accessories
27,audifonos in-ear gamer inalambricos lenovo xg01 gris con luz led,LENOVO,in-ear,bluetooth,gamer,42.0,4.5,146000,China,Mobil accessories
28,apple airpods pro (2ª generacion),APPLE,in-ear,wire,No-gamer,6.0,4.5,1299000,USA,Mobil accessories
29,audifonos lenovo bluetooth he05 magneticos y ajustables,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,59900,China,Mobil accessories
30,auriculares bluetooth f9 8d mejor que xiaomi earpods tactil,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,70000,China,Mobil accessories
31,audifonos inalambricos jbl tune 125bt black,JBL,Headphones,bluetooth,No-gamer,117.0,4.5,163000,USA,high-end
33,audifonos in-ear samsung tuned by akg black,SAMSUNG,in-ear,wire,No-gamer,351.0,4.5,18000,Korea,Mobil accessories
34,audifonos logitech h111 gris,LOGITECH,Headphones,wire,No-gamer,235.0,4.5,64589,Swiss,high-end
35,audifonos in-ear gamer inalambricos xiaomi mi true wireless earbuds basic 2s negro,XIAOMI,in-ear,bluetooth,gamer,43.0,4.5,96615,China,Mobil accessories
36,audifonos in-ear gamer inalambricos sony linkbuds s negro,SONY,in-ear,bluetooth,gamer,24.0,4.5,1129900,Japan,high-end
37,audifonos in-ear inalambricos lenovo livepods lp1 blanco y gris,LENOVO,in-ear,bluetooth,No-gamer,177.0,4.5,74000,China,Mobil accessories
38,audifonos inalambricos jbl tune 510bt rosa,JBL,Headphones,bluetooth,No-gamer,533.0,4.5,409900,USA,high-end
39,audifonos in-ear xiaomi mi headphones basic plateado,XIAOMI,in-ear,wire,No-gamer,390.0,4.5,22650,China,Mobil accessories
40,audifonos inalambricos sony 1000x series wh-1000xm5 platinum silver,SONY,Headphones,bluetooth,No-gamer,84.0,4.5,1324900,Japan,high-end
41,audifonos inalambricos samsung level u2 negro,SAMSUNG,Headphones,bluetooth,No-gamer,27.0,4.5,199000,Korea,Mobil accessories
44,audifonos in-ear inalambricos jbl wave 100tws black,JBL,in-ear,bluetooth,No-gamer,68.0,4.5,277000,USA,high-end
45,audifonos gamer jbl quantum 100 negro,JBL,Headphones,wire,gamer,107.0,4.5,180000,USA,high-end
46,audifonos inalambricos jbl tune 760nc black,JBL,Headphones,bluetooth,No-gamer,15.0,4.5,379900,USA,high-end
48,audifonos in-ear gamer inalambricos haylou t series t15 negro,HAYLOU,in-ear,bluetooth,gamer,181.0,4.5,159000,China,Mobil accessories
49,audifonos sony zx series mdr-zx110 rosa,SONY,Headphones,wire,No-gamer,799.0,4.5,73200,Japan,high-end
50,audifonos in-ear gamer inalambricos samsung galaxy buds2 pro graphite,SAMSUNG,in-ear,bluetooth,gamer,20.0,4.5,789900,Korea,Mobil accessories
51,audifonos in-ear inalambricos sony 1000x series wf-1000xm4 plata,SONY,in-ear,bluetooth,No-gamer,112.0,4.5,1499904,Japan,high-end
52,airpods 3ra generacion tipo aaa audifonos inalambricos,APPLE,in-ear,bluetooth,No-gamer,14.0,4.5,101524,USA,Mobil accessories
54,audifonos in-ear inalambricos lenovo livepods lp1 blanco y rojo,LENOVO,in-ear,bluetooth,No-gamer,177.0,4.5,74000,China,Mobil accessories
58,audifonos in-ear inalambricos lenovo livepods lp1s blanco,LENOVO,in-ear,bluetooth,No-gamer,71.0,4.5,97600,China,Mobil accessories
60,audifonos audio-technica m-series ath-m30x negro,AUDIO-TECHNICA,Headphones,wire,No-gamer,60.0,4.5,428000,Japan,professional
61,audifonos 100% lenovo livepods lp75 bluetooth 5.3 negro ya!!,LENOVO,Headphones,bluetooth,No-gamer,20.0,4.5,115831,China,Mobil accessories
62,audifonos in-ear inalambricos jbl endurance race blanco,JBL,in-ear,bluetooth,No-gamer,22.0,4.5,429900,USA,high-end
65,audifonos sony zx series mdr-zx110 blanco,SONY,Headphones,wire,No-gamer,799.0,4.5,50900,Japan,high-end
66,audifonos logitech h390 negro,LOGITECH,Headphones,wire,No-gamer,418.0,4.5,156900,Swiss,high-end
67,audifonos in-ear samsung ehs61asfwe blanco,SAMSUNG,in-ear,wire,No-gamer,81.0,4.5,14900,Korea,Mobil accessories
68,audifonos sony zx series mdr-zx110ap negro,SONY,Headphones,wire,No-gamer,565.0,4.5,61900,Japan,high-end
69,audifonos in-ear motorola earbuds 2 negro,MOTOROLA,in-ear,wire,No-gamer,89.0,4.5,39192,USA,Mobil accessories
70,audifonos inalambricos soundcore life series life q30 black,SOUNDCORE,Headphones,bluetooth,No-gamer,54.0,4.5,434990,China,high-end
71,audifonos in-ear gamer inalambricos haylou gt series gt7 blanco,HAYLOU,in-ear,bluetooth,gamer,61.0,4.5,132900,China,Mobil accessories
72,audifonos audio-technica m-series ath-m20x negro,AUDIO-TECHNICA,Headphones,wire,No-gamer,167.0,4.5,280000,Japan,professional
73,audifonos xiaomi in-ear inalambricos redmi airdots 2 negro,XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,51900,China,Mobil accessories
74,audifonos in-ear sony ex series mdr-ex15ap blanco,SONY,in-ear,wire,No-gamer,554.0,4.5,34901,Japan,high-end
75,audifonos in-ear inalambricos haylou gt series gt3 negro,HAYLOU,in-ear,bluetooth,No-gamer,175.0,4.5,139900,China,Mobil accessories
77,audifonos jbl tune 500 negro,JBL,Headphones,wire,No-gamer,280.0,4.5,148000,USA,high-end
78,apple airpods (3ª generacion) con estuche de carga magsafe,APPLE,in-ear,wire,No-gamer,13.0,4.5,1000000,USA,Mobil accessories
80,audifonos in-ear inalambricos bose quietcomfort earbuds triple black,BOSE,in-ear,bluetooth,No-gamer,19.0,4.5,1250000,USA,professional
82,audifonos in-ear inalambricos huawei freelace amber sunrise,HUAWEI,in-ear,bluetooth,No-gamer,188.0,4.5,275900,China,Mobil accessories
83,audifonos inalambricos sony wi-xb400 azul,SONY,Headphones,bluetooth,No-gamer,115.0,4.5,199900,Japan,high-end
84,diadema manos libres bluetooth v5.0 25h motorola moto xt500+,MOTOROLA,in-ear,bluetooth,No-gamer,30.0,4.5,182211,USA,Mobil accessories
89,audifonos sennheiser hd 400s negro,SENNHEISER,Headphones,wire,No-gamer,43.0,4.5,269990,Germany,high-end
